id,artist_name,key,mode,track_name,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,hit,year,explicit,sentimentPos,sentimentNeg,sentimentComp,sentimentNeu,pos_neg_diff
1FXrYwvWwjmbw8cqFC1OWz,majiko,1.0,1.0,Kokoronashi,65,0.289,0.528,273583.0,0.593,0.00054,0.0724,-3.68,0.0545,167.238,0.35100000000000003,0,2015,0.0,0.0,0.0,0.0,1.0,0.0
0f62w1teOSaYgKObtzygaR,Maxwell,11.0,0.0,Bad Habits - uncut,47,0.0873,0.6609999999999999,352280.0,0.67,2.01e-06,0.0794,-7.645,0.258,148.02,0.6609999999999999,0,2009,1.0,0.118,0.175,-0.3879,0.707,-0.056999999999999995
5TloYFwzd09yWy8xkRLVUu,Jungle,10.0,0.0,Busy Earnin',50,0.209,0.552,181773.0,0.883,4.91e-06,0.0912,-5.61,0.0355,99.967,0.745,0,2014,1.0,0.0,0.0,0.0,1.0,0.0
3b6uenXXbpCRxXyzFzWi3J,Thousand Foot Krutch,7.0,0.0,Phenomenon,59,0.000369,0.561,179227.0,0.774,2.36e-06,0.0469,-3.622,0.0737,164.00799999999995,0.903,0,2003,0.0,0.092,0.111,0.2942,0.797,-0.019000000000000003
6qZjm61s6u8Ead9sWxCDro,Tame Impala,9.0,0.0,Elephant,69,0.562,0.598,211227.0,0.5529999999999999,0.157,0.257,-6.742000000000001,0.0397,123.075,0.5329999999999999,0,2012,1.0,0.365,0.295,0.128,0.341,0.07
16pmJwwNFVCqdXWPZtwZzh,Serj Tankian,0.0,0.0,Empty Walls,61,0.00161,0.464,230027.0,0.963,0.0,0.196,-3.568,0.0484,160.071,0.528,0,2007,1.0,0.109,0.341,-0.9447,0.551,-0.23200000000000004
5BkHkyO9PFXs1m7vSMnXp4,Beyoncé,2.0,1.0,Ring The Alarm,49,0.0299,0.458,203347.0,0.7509999999999999,0.000155,0.258,-8.395,0.469,169.673,0.48,0,2007,1.0,0.089,0.131,-0.6398,0.779,-0.04200000000000001
6edUYy5asvbrPZ1iFve8ep,Turnpike Troubadours,9.0,0.0,Before The Devil Knows We're Dead,48,0.0308,0.633,234293.0,0.904,1.04e-05,0.0698,-6.686,0.0437,129.066,0.752,0,2012,0.0,0.28,0.166,0.838,0.554,0.11400000000000002
2pE0CMK1fE3mfU0eEOHhKw,CHVRCHES,1.0,1.0,The Mother We Share,59,0.0324,0.46,191294.0,0.6859999999999999,4.45e-06,0.126,-6.43,0.0301,173.829,0.338,0,2013,1.0,0.111,0.172,-0.6119,0.717,-0.060999999999999985
5n40SAKMk89wdWyhTfWzx4,Gondwana,0.0,1.0,Antonia,42,0.298,0.763,248213.0,0.64,0.00244,0.0538,-8.044,0.0411,95.487,0.94,0,2003,0.0,0.075,0.0,0.6124,0.925,0.075
3ph6oLYf5K5UhJNkLlITqk,Edgar Broughton Band,11.0,0.0,Old Gopher - 2004 Remaster,1,0.0455,0.564,234200.0,0.764,9.94e-06,0.0588,-7.529,0.058,117.657,0.8059999999999999,0,2011,0.0,0.112,0.124,-0.128,0.764,-0.011999999999999997
2i5BhTOcsnH6jfBspDNuLM,A Day To Remember,0.0,1.0,The Danger In Starting a Fire,47,0.000534,0.318,182640.0,0.91,1.99e-06,0.297,-3.962,0.0773,92.374,0.365,0,2008,0.0,0.25,0.125,0.6613,0.625,0.125
1F1QmI8TMHir9SUFrooq5F,tobi lou,5.0,1.0,Buff Baby,67,0.243,0.7340000000000001,215385.0,0.765,0.0,0.101,-6.0470000000000015,0.0571,156.04,0.512,0,2018,1.0,0.376,0.082,0.9853,0.542,0.294
